marineEco,marineRealm,marineProv,EcoNumber,area not corrected,floatingandsinking.area,sinkingonly.area,floatingonly.area,total area.corrected.P.rock,exportF,exportFSD,exportS,exportSSD,exportFS,exportSF.SD,gCF,gCF.SD,gCS,gCS.SD,gCSF,N,NPP,NPP.SD,CRT,CRT.SD,export,exportcombinedSD,gCperm2,gC,NPP TgC,Exported NPP,TgC,,median seq 200 m y,median seq 530m y,Seq fraction 200m 25y,Seq fraction 200m 100y,Seq fraction 500m 25y,Seq fraction 530m 100y,Seq fraction 1000m 100y,TgC 200m 100y,TgC 530m 100y,TgC 1000m 100y,TgC 200m 25y,TgC 500m 25y,,,,,,,,,,,,,,,,,
Western Galapagos Islands,Tropical Eastern Pacific,Galapagos,174,18,0,0,8,8,37.63,0.00,38.77,29.64,38.20,29.64,930.43,NA,618.62,NA,774.52,2731,1643.98,93.12,4.44,3.46,37.63,0.00,930.43,7629199707,0.01,56.6,0.00763,,17.3,194.0,0.13,0.02,0.98,0.52,0.99,0.0002,0.0039,0.0076,0.0010,0.0074,,,,,,,,,,,,,,,,,
Central Peru,Temperate South America,Warm Temperate Southeastern Pacific,175,4416,83,1,1934,2017,33.84,2.89,31.15,11.09,32.50,11.46,514.44,64.47,515.77,54.07,515.11,7457,1553.20,155.32,39.44,9.96,33.79,3.67,514.47,1.03786E+12,3.13,33.1,1.03786,,5.8,194.0,0.07,0.01,0.99,0.53,0.98,0.0140,0.5449,1.0171,0.0727,1.0275,,,,,,,,,,,,,,,,,
Humboldtian,Temperate South America,Warm Temperate Southeastern Pacific,176,1728,233,133,424,790,36.26,2.84,41.86,24.77,39.06,24.93,732.62,308.62,503.70,128.67,618.16,15797,1451.93,286.88,14.18,17.72,38.03,17.06,660.31,5.21405E+11,1.15,45.5,0.52140,,5.8,171.8,0.04,0.04,0.98,0.50,0.97,0.0188,0.2607,0.5032,0.0188,0.5092,,,,,,,,,,,,,,,,,
Central Chile,Temperate South America,Warm Temperate Southeastern Pacific,177,556,135,74,45,254,37.63,0.00,50.42,25.51,44.02,25.51,423.15,144.78,232.18,72.88,327.66,7998,496.23,178.34,1.31,1.76,44.75,23.14,316.77,80510847863,0.13,63.8,0.08051,,63.5,221.7,0.21,0.05,0.93,0.41,0.92,0.0039,0.0326,0.0737,0.0165,0.0745,,,,,,,,,,,,,,,,,
Araucanian,Temperate South America,Warm Temperate Southeastern Pacific,178,2553,876,7,283,1166,29.09,5.40,26.53,13.96,27.81,14.97,148.55,80.40,142.02,68.42,145.29,8228,473.95,202.58,55.06,25.25,28.11,13.29,146.06,1.7032E+11,0.55,30.8,0.17032,,98.1,182.9,0.52,0.14,0.96,0.48,0.84,0.0246,0.0809,0.1431,0.0877,0.1635,,,,,,,,,,,,,,,,,
Southeastern Brazil,Temperate South America,Warm Temperate Southwestern Atlantic,180,19242,826,21,7944,8791,21.71,5.92,21.68,5.97,21.69,8.41,55.20,86.30,55.49,86.65,55.34,10432,226.62,290.92,120.93,109.12,21.70,6.20,55.21,4.85335E+11,1.99,24.4,0.48534,,17.3,49.9,0.07,0.02,0.25,0.08,0.53,0.0080,0.0410,0.2572,0.0332,0.1189,,,,,,,,,,,,,,,,,
Rio Grande,Temperate South America,Warm Temperate Southwestern Atlantic,181,22747,7375,1049,1968,10392,11.20,5.89,11.14,6.06,11.17,8.45,39.01,36.00,39.14,35.49,39.08,6822,324.91,186.46,382.41,209.51,11.17,7.81,39.07,4.06009E+11,3.38,12.0,0.40601,,5.8,49.9,0.06,0.01,0.21,0.08,0.49,0.0059,0.0311,0.1989,0.0229,0.0855,,,,,,,,,,,,,,,,,
Rio de la Plata,Temperate South America,Warm Temperate Southwestern Atlantic,182,2251,97,931,0,1028,22.37,13.56,17.13,15.67,19.75,20.72,14.08,3.94,14.08,3.94,14.08,5896,214.61,81.27,210.02,209.13,17.38,16.21,14.08,14480126752,0.22,6.6,0.01448,,17.3,138.6,0.06,0.01,0.23,0.08,0.50,0.0002,0.0012,0.0072,0.0008,0.0033,,,,,,,,,,,,,,,,,
Uruguay-Buenos Aires Shelf,Temperate South America,Warm Temperate Southwestern Atlantic,183,56351,13185,11721,837,25744,4.20,1.70,4.03,1.74,4.12,2.43,9.44,6.70,10.00,6.98,9.72,9441,226.49,123.10,1123.26,481.90,4.08,2.12,9.84,2.53375E+11,5.83,4.3,0.25337,,17.3,138.6,0.09,0.02,0.33,0.13,0.51,0.0061,0.0340,0.1288,0.0231,0.0842,,,,,,,,,,,,,,,,,
North Patagonian Gulfs,Temperate South America,Magellanic,184,10236,2677,0,2000,4676,3.19,2.10,2.55,2.46,2.87,3.23,6.56,8.78,8.13,8.45,7.35,8834,214.60,131.23,1635.78,863.57,3.19,2.10,6.56,32778417536,1.00,3.3,0.03278,,98.1,221.7,0.38,0.17,0.73,0.39,0.50,0.0056,0.0128,0.0164,0.0126,0.0238,,,,,,,,,,,,,,,,,
Patagonian Shelf,Temperate South America,Magellanic,185,14301,4756,32,1746,6534,6.61,5.53,5.82,5.93,6.22,8.11,23.19,27.68,25.91,26.63,24.55,9815,377.28,142.12,854.57,439.72,6.32,7.49,24.19,1.58077E+11,2.46,6.4,0.15808,,28.8,221.7,0.27,0.12,0.59,0.31,0.45,0.0184,0.0485,0.0714,0.0425,0.0929,,,,,,,,,,,,,,,,,
Malvinas/Falklands,Temperate South America,Magellanic,186,5842,2603,25,41,2669,27.59,7.11,17.94,15.12,22.76,16.71,131.54,132.04,178.34,115.46,154.94,8023,673.23,399.50,69.47,40.37,22.79,16.59,154.79,4.13112E+11,1.80,23.0,0.41311,,98.1,221.7,0.35,0.16,0.73,0.40,0.47,0.0663,0.1659,0.1935,0.1454,0.3007,,,,,,,,,,,,,,,,,
Channels and Fjords of Southern Chile,Temperate South America,Magellanic,187,12068,4595,99,819,5513,29.50,9.63,30.48,17.87,29.99,20.30,202.02,156.20,200.00,130.28,201.01,18274,713.58,392.86,111.79,245.03,29.92,19.05,201.14,1.10892E+12,3.93,28.2,1.10892,,63.5,116.4,0.32,0.15,0.53,0.29,0.41,0.1683,0.3190,0.4541,0.3567,0.5905,,,,,,,,,,,,,,,,,
Chiloense,Temperate South America,Magellanic,188,5530,609,0,1917,2526,17.04,9.64,14.77,13.76,15.91,16.80,86.15,118.45,92.03,95.49,89.09,7307,454.19,267.10,285.47,292.21,16.77,11.77,86.86,2.19439E+11,1.15,19.1,0.21944,,121.2,182.9,0.83,0.28,0.92,0.47,0.79,0.0623,0.1037,0.1731,0.1828,0.2009,,,,,,,,,,,,,,,,,
Namib,Temperate Southern Africa,Benguela,190,1319,0,603,0,603,24.47,7.65,23.22,14.30,23.85,16.22,455.66,143.27,470.43,120.33,463.04,9964,1593.64,221.45,88.14,46.50,23.22,14.30,470.43,2.83564E+11,0.96,29.5,0.28356,,5.8,105.3,0.02,0.00,0.69,0.19,0.77,0.0003,0.0534,0.2184,0.0048,0.1945,,,,,,,,,,,,,,,,,
Namaqua,Temperate Southern Africa,Benguela,191,1786,546,212,57,816,16.60,3.78,13.44,7.24,15.02,8.16,118.51,50.54,119.82,49.24,119.16,9560,729.71,252.61,168.62,70.71,14.72,7.70,119.29,97313743228,0.60,16.3,0.09731,,17.3,72.1,0.22,0.04,0.58,0.13,0.65,0.0034,0.0128,0.0633,0.0211,0.0563,,,,,,,,,,,,,,,,,
Agulhas Bank,Temperate Southern Africa,Agulhas,192,2971,1320,9,28,1357,23.45,7.26,22.47,11.43,22.96,13.54,241.80,144.60,260.06,115.06,250.93,8500,1279.93,306.54,98.52,50.15,22.97,13.43,250.80,3.40417E+11,1.74,19.6,0.34042,,5.8,27.7,0.04,0.01,0.16,0.04,0.24,0.0032,0.0145,0.0814,0.0150,0.0553,,,,,,,,,,,,,,,,,
Natal,Temperate Southern Africa,Agulhas,193,2248,795,0,232,1027,37.63,0.00,58.53,8.86,48.08,8.86,563.86,158.05,369.30,66.24,466.58,7743,1187.29,281.83,8.15,7.59,37.63,0.00,563.86,5.01873E+11,1.22,41.2,0.50187,,5.8,27.7,0.03,0.01,0.14,0.04,0.19,0.0035,0.0196,0.0951,0.0136,0.0715,,,,,,,,,,,,,,,,,
Kermadec Island,Temperate Australasia,Northern New Zealand,195,11,0,0,5,5,37.63,NA,70.97,NA,54.30,NA,378.80,NA,200.83,NA,289.81,7472,459.12,86.78,0.01,NA,37.63,NA,378.80,1936690142,0.00,82.5,0.00194,,5.8,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Northeastern New Zealand,Temperate Australasia,Northern New Zealand,196,5928,2690,0,18,2708,26.39,4.55,24.72,9.10,25.56,10.18,274.27,110.71,291.80,72.54,283.04,5734,1096.75,272.41,68.56,21.93,25.56,10.15,282.98,7.66413E+11,2.97,25.8,0.76641,,5.8,38.8,0.06,0.02,0.20,0.07,0.46,0.0126,0.0568,0.3522,0.0491,0.1560,,,,,,,,,,,,,,,,,
Three Kings-North Cape,Temperate Australasia,Northern New Zealand,197,196,61,0,29,90,33.65,3.57,35.38,7.69,34.51,8.48,365.09,60.93,356.76,51.24,360.93,3291,1058.75,214.85,39.72,12.63,33.65,3.57,365.09,32447079709,0.09,34.2,0.03245,,17.3,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Chatham Island,Temperate Australasia,Southern New Zealand,198,1035,473,0,0,473,35.93,2.15,33.43,18.97,34.68,19.09,158.36,108.19,185.62,59.29,171.99,5984,501.06,160.09,27.44,13.23,35.93,2.15,158.36,81294923224,0.24,34.3,0.08129,,5.8,49.9,0.16,0.05,0.31,0.12,0.48,0.0041,0.0099,0.0391,0.0131,0.0250,,,,,,,,,,,,,,,,,
Central New Zealand,Temperate Australasia,Southern New Zealand,199,20084,8365,0,810,9175,23.35,7.14,21.79,12.74,22.57,14.61,128.41,95.47,135.65,69.30,132.03,13659,596.15,234.97,98.99,56.36,23.35,7.14,128.41,1.20847E+12,5.47,22.1,1.20847,,17.3,61.0,0.10,0.03,0.27,0.10,0.47,0.0341,0.1230,0.5674,0.1170,0.3227,,,,,,,,,,,,,,,,,
South New Zealand,Temperate Australasia,Southern New Zealand,200,4731,2158,0,4,2161,34.99,3.07,40.07,12.94,37.53,13.30,204.59,104.69,174.46,55.66,189.52,5322,567.06,189.21,30.42,16.79,37.52,13.29,189.55,4.09655E+11,1.23,33.4,0.40966,,28.8,83.1,0.18,0.06,0.24,0.10,0.51,0.0247,0.0414,0.2093,0.0729,0.0995,,,,,,,,,,,,,,,,,
Tweed-Moreton,Temperate Australasia,East Central Australian Shelf,202,14252,6324,0,187,6511,28.57,9.97,30.44,12.01,29.51,15.62,109.21,143.53,99.18,128.08,104.20,5927,375.45,433.88,78.80,81.43,29.48,15.48,104.34,6.7936E+11,2.44,27.8,0.67936,,5.8,49.9,0.02,0.00,0.11,0.28,0.49,0.0031,0.1891,0.3321,0.0140,0.0720,,,,,,,,,,,,,,,,,
Manning-Hawkesbury,Temperate Australasia,East Central Australian Shelf,203,2005,915,1,0,916,37.63,0.00,43.21,3.68,40.42,3.68,498.80,94.03,434.48,73.68,466.64,4711,1174.78,299.10,22.94,5.21,40.42,3.68,466.60,4.27469E+11,1.08,39.7,0.42747,,5.8,27.7,0.04,0.01,0.20,0.06,0.48,0.0047,0.0244,0.2030,0.0190,0.0834,,,,,,,,,,,,,,,,,
Cape Howe,Temperate Australasia,Southeast Australian Shelf,204,9368,4278,0,1,4280,16.18,6.76,16.22,7.33,16.20,9.98,86.82,117.47,85.19,109.99,86.00,5981,605.93,474.70,191.14,93.12,16.20,9.97,86.00,3.68065E+11,2.59,14.2,0.36806,,5.8,38.8,0.31,0.09,0.48,0.15,0.49,0.0324,0.0554,0.1798,0.1147,0.1770,,,,,,,,,,,,,,,,,
Bassian,Temperate Australasia,Southeast Australian Shelf,205,12287,5565,0,48,5613,19.26,8.15,18.27,11.05,18.76,13.73,104.12,82.72,111.05,75.33,107.59,9668,584.50,212.29,162.59,165.26,18.77,13.69,107.56,6.03765E+11,3.28,18.4,0.60376,,75.0,116.4,0.25,0.08,0.43,0.14,0.45,0.0456,0.0842,0.2699,0.1504,0.2602,,,,,,,,,,,,,,,,,
Western Bassian,Temperate Australasia,Southeast Australian Shelf,206,9648,4131,0,277,4408,21.09,9.24,20.96,11.12,21.02,14.46,191.33,169.75,191.36,158.49,191.35,7236,815.56,482.67,155.75,139.02,21.03,14.19,191.35,8.43417E+11,3.59,23.5,0.84342,,86.5,116.4,0.56,0.16,0.65,0.21,0.51,0.1358,0.1763,0.4335,0.4723,0.5491,,,,,,,,,,,,,,,,,
South Australian Gulfs,Temperate Australasia,Southwest Australian Shelf,207,28054,12723,0,93,12816,9.58,3.54,8.92,4.42,9.25,5.66,18.85,26.50,19.49,26.21,19.17,6834,203.54,220.30,459.79,331.56,9.25,5.65,19.17,2.45689E+11,2.61,9.4,0.24569,,86.5,127.5,0.63,0.16,0.70,0.22,0.59,0.0403,0.0536,0.1459,0.1550,0.1708,,,,,,,,,,,,,,,,,
Great Australian Bight,Temperate Australasia,Southwest Australian Shelf,208,14486,6076,0,542,6618,13.63,2.36,13.35,3.01,13.49,3.83,29.20,42.68,29.52,42.52,29.36,10327,209.17,232.93,220.60,58.94,13.63,2.36,29.20,1.94206E+11,1.38,14.0,0.19421,,86.5,116.4,0.54,0.16,0.62,0.21,0.53,0.0302,0.0406,0.1035,0.1055,0.1213,,,,,,,,,,,,,,,,,
Leeuwin,Temperate Australasia,Southwest Australian Shelf,209,9277,4130,3,106,4238,27.19,6.10,27.17,8.25,27.18,10.25,65.52,61.67,65.58,58.82,65.55,11470,251.08,199.23,70.48,30.38,27.18,10.17,65.55,2.77803E+11,1.06,26.1,0.27780,,86.5,127.5,0.45,0.14,0.48,0.16,0.47,0.0385,0.0440,0.1300,0.1243,0.1339,,,,,,,,,,,,,,,,,
Shark Bay,Temperate Australasia,West Central Australian Shelf,210,13335,5715,0,377,6092,21.98,9.24,20.34,13.10,21.16,16.03,19.25,15.29,21.53,13.98,20.39,4301,113.86,56.57,179.15,250.39,21.98,9.24,19.25,1.23766E+11,0.69,17.8,0.12377,,40.4,138.6,0.26,0.06,0.62,0.23,0.63,0.0069,0.0280,0.0775,0.0322,0.0770,,,,,,,,,,,,,,,,,
Houtman,Temperate Australasia,West Central Australian Shelf,211,6776,3006,2,88,3095,25.02,7.96,25.07,10.76,25.05,13.39,51.17,25.32,49.46,23.39,50.31,4452,190.75,61.25,87.88,50.17,25.05,13.26,50.34,1.55821E+11,0.59,26.4,0.15582,,63.5,138.6,0.34,0.08,0.60,0.22,0.61,0.0132,0.0337,0.0944,0.0522,0.0937,,,,,,,,,,,,,,,,,
Macquarie Island,Southern Ocean,Subantarctic Islands,212,0,0,0,0,0,37.63,NA,70.99,NA,54.31,NA,365.38,NA,193.67,NA,279.53,5262,511.26,3.76,0.01,NA,37.63,NA,365.38,0,0.00,0.0,0.00000,,75.0,116.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Kerguelen Islands,Southern Ocean,Subantarctic Islands,214,1085,0,0,496,496,25.53,5.33,18.94,12.49,22.23,13.58,230.20,141.51,264.75,113.24,247.47,7240,1228.43,330.89,76.17,29.79,25.53,5.33,230.20,1.14146E+11,0.61,18.7,0.11415,,28.8,171.8,0.11,0.05,0.39,0.21,0.42,0.0061,0.0245,0.0481,0.0120,0.0448,,,,,,,,,,,,,,,,,
South Shetland Islands,Southern Ocean,Scotia Sea,222,769,0,0,351,351,35.36,3.85,40.20,17.97,37.78,18.38,124.35,90.42,113.93,50.30,119.14,8792,337.65,147.12,24.26,19.21,35.36,3.85,124.35,43697334325,0.12,36.8,0.04370,,51.9,221.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Antarctic Peninsula,Southern Ocean,Scotia Sea,223,249,0,0,114,114,36.06,3.12,18.48,22.68,27.27,22.90,109.74,119.10,160.54,74.59,135.14,18275,367.83,153.67,23.67,19.71,36.06,3.12,109.74,12491206821,0.04,29.8,0.01249,,109.6,221.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
East Antarctic Wilkes Land,Southern Ocean,Continental High Antarctic,224,0,0,0,0,0,37.13,1.86,30.91,25.74,34.02,25.80,199.13,215.03,214.61,80.62,206.87,121408,513.07,218.89,12.15,11.99,37.13,1.86,199.13,0,0.00,0.0,0.00000,,230.8,221.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Campbell Island,Southern Ocean,Subantarctic New Zealand,231,7,2,1,0,3,37.63,0.00,37.78,27.25,37.70,27.25,389.85,353.16,412.27,212.24,401.06,4149,504.04,233.79,20.19,12.31,37.78,27.25,412.27,1251717628,0.00,80.3,0.00125,,28.8,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Auckland Island,Southern Ocean,Subantarctic New Zealand,232,207,57,38,0,95,36.50,1.77,35.98,25.22,36.24,25.28,278.96,305.31,270.86,147.12,274.91,3133,580.44,280.83,23.05,15.43,35.98,25.22,270.86,25902555628,0.06,47.1,0.02590,,17.3,94.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Fernando de Naronha and Atoll das Rocas,Tropical Atlantic,Tropical Southwestern Atlantic,74,3,0,0,2,2,37.63,NA,70.98,NA,54.30,NA,NA,NA,NA,NA,NA,3634,541.42,16.54,0.01,NA,37.63,NA,NA,NA,8.65E-04,37.6,3.25E-04,,28.8,149.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Marshall Islands,Eastern Indo-Pacific,"Marshall, Gilbert and Ellis Islands",153,10,0,0,4,4,37.63,0.00,69.90,1.28,53.76,1.28,NA,NA,NA,NA,NA,26157,104.38,NA,0.48,0.61,37.63,0.00,NA,NA,4.62E-04,37.6,1.74E-04,,17.3,138.6,0.04,0.01,0.47,0.14,0.82,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Phoenix/Tokelau/Northern Cook Islands,Eastern Indo-Pacific,Central Polynesia,156,3,0,0,2,2,37.63,0.00,70.98,0.00,54.30,0.00,NA,NA,NA,NA,NA,29328,619.16,97.69,0.01,0.00,37.63,0.00,NA,NA,9.51E-04,37.6,3.58E-04,,5.8,160.7,0.06,0.02,0.74,0.25,0.86,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Southern Cook/Austral Islands,Eastern Indo-Pacific,Southeast Polynesia,160,64,0,0,29,29,37.63,0.00,70.98,0.00,54.30,0.00,NA,NA,NA,NA,NA,21182,511.66,210.43,0.01,0.00,37.63,0.00,NA,NA,1.49E-02,37.6,5.61E-03,,17.3,171.8,0.12,0.03,0.49,0.16,0.72,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Revillagigedos,Tropical Eastern Pacific,Tropical East Pacific,164,23,0,0,10,10,37.63,NA,69.37,NA,53.50,NA,NA,NA,NA,NA,NA,7865,68.12,17.35,0.01,NA,37.63,NA,NA,NA,7.06E-04,37.6,2.66E-04,,17.3,194.0,0.44,0.05,0.99,0.51,0.89,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Juan Fernandez and Desventuradas,Temperate South America,Juan Fernandez and Desventuradas,179,55,0,25,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12027,1631.56,69.91,NA,NA,NA,NA,NA,NA,4.12E-02,NA,NA,,NA,NA,0.52,0.14,0.96,0.48,0.84,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Tristan Gough,Temperate South America,Tristan Gough,189,12,0,5,1,6,37.63,0.00,68.75,2.14,53.19,2.14,NA,NA,NA,NA,NA,14609,812.14,6.15,0.99,1.05,63.57,1.95,NA,NA,4.56E-03,63.6,2.90E-03,,28.8,116.4,0.27,0.07,0.54,0.21,0.55,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Heard and Macdonald Islands,Southern Ocean,Subantarctic Islands,213,8,0,3,0,4,37.63,0.00,55.74,29.57,46.68,29.57,NA,NA,NA,NA,NA,4964,733.11,266.07,2.99,5.40,53.32,27.52,NA,NA,2.58E-03,53.3,1.38E-03,,28.8,171.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Prince Edward Islands,Southern Ocean,Subantarctic Islands,216,1,0,0,1,1,37.63,NA,70.97,NA,54.30,NA,NA,NA,NA,NA,NA,5564,603.37,165.55,0.01,NA,37.63,NA,NA,NA,3.22E-04,37.6,1.21E-04,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
South Georgia,Southern Ocean,Scotia Sea,220,24,0,0,11,11,33.51,3.75,20.70,19.73,27.11,20.09,NA,NA,NA,NA,NA,8137,324.07,37.07,38.09,17.95,33.51,3.75,NA,NA,3.57E-03,33.5,1.20E-03,,51.9,149.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,