ID,Species,Treatment,Tank,Deployment,Initial,Retrieval,Final,Dry,Initials,Notes
1,Ecklonia radiata,Live,3,03.02.25,15.79,24.03.25,5.6,1.46755,PA,
2,Ecklonia radiata,Live,3,03.02.25,17.35,10.04.25,6.46,1.17992,PA,
3,Ecklonia radiata,Live,3,03.02.25,42.74,13.02.25,38.7,10.75787,"PA, TR",dry mass double-checked by LSW: 10.80306 g
4,Ecklonia radiata,Live,3,03.02.25,43.86,17.04.25,0,0,PA,
5,Ecklonia radiata,Live,1,03.02.25,9.82,05.02.25,9.6,1.78692,LSW,dry mass double-checked by LSW: 1.77419 g
6,Ecklonia radiata,Live,3,03.02.25,22.63,27.02.25,7.85,2.10818,TR,
7,Ecklonia radiata,Dead,3,03.02.25,12.14,06.03.25,0,0,LSW,
8,Ecklonia radiata,Live,3,03.02.25,27.5,03.03.25,19.78,4.5246,PA,
9,Ecklonia radiata,Live,1,03.02.25,21.09,31.03.25,9.23,3.65349,PA,
10,Ecklonia radiata,Dead,1,03.02.25,14.12,04.02.25,10.8,2.14927,LSW,
11,Ecklonia radiata,Dead,3,03.02.25,8.16,07.02.25,10.01,1.14335,LSW,
12,Ecklonia radiata,Live,3,03.02.25,37.62,10.03.25,9.33,1.65212,PA,
13,Ecklonia radiata,Live,1,03.02.25,34.57,10.02.25,30.43,7.78779,TR,dry mass double-checked by LSW: 7.74139 g
14,Ecklonia radiata,Live,1,03.02.25,22.22,10.03.25,9.21,2.36284,PA,
15,Ecklonia radiata,Live,1,03.02.25,23.65,03.03.25,18.35,4.33384,PA,
16,Ecklonia radiata,Live,3,03.02.25,18.46,17.02.25,17.94,5.1116,PA,dry mass double-checked by LSW: 5.10902 g
17,Ecklonia radiata,Dead,3,03.02.25,25.14,17.03.25,0,0,PA,
18,Ecklonia radiata,Live,3,03.02.25,8.26,07.02.25,8.21,1.80704,LSW,dry mass double-checked by LSW: 1.79897 g
19,Ecklonia radiata,Live,1,03.02.25,7.26,07.04.25,6.73,1.47317,PA,
20,Ecklonia radiata,Live,1,03.02.25,15.57,17.02.25,16.1,3.89216,PA,
21,Ecklonia radiata,Dead,3,03.02.25,14.39,10.03.25,0,0,PA,
22,Ecklonia radiata,Dead,3,03.02.25,23.55,27.02.25,1.14,0.29465,TR ,
23,Ecklonia radiata,Live,1,03.02.25,21.14,14.04.25,5.45,1.18476,PA,
24,Ecklonia radiata,Live,3,03.02.25,38.22,31.03.25,15.2,2.02308,PA,
25,Ecklonia radiata,Live,3,03.02.25,24.31,06.03.25,23.26,5.81819,LSW,
26,Ecklonia radiata,Live,1,03.02.25,19.7,20.03.25,18.37,4.23428,PA,
27,Ecklonia radiata,Dead,1,03.02.25,21.48,20.03.25,0,0,PA,
28,Ecklonia radiata,Dead,3,03.02.25,11.38,04.02.25,10.1,2.26361,LSW,
29,Ecklonia radiata,Dead,1,03.02.25,17.91,31.03.25,0,0,PA,
30,Ecklonia radiata,Dead,3,03.02.25,35.25,03.03.25,0,0,PA,
31,Ecklonia radiata,Live,1,03.02.25,30.62,17.03.25,27.03,4.10426,PA,
32,Ecklonia radiata,Dead,1,03.02.25,10.8,17.03.25,0,0,PA,
33,Ecklonia radiata,Live,3,03.02.25,12.78,17.03.25,10.97,2.56508,PA,
34,Ecklonia radiata,Dead,1,03.02.25,30.76,14.04.25,0,0,PA,
35,Ecklonia radiata,Live,3,03.02.25,18.61,13.03.25,0,0,LSW,
36,Ecklonia radiata,Dead,3,03.02.25,10.45,24.03.25,0,0,PA,
37,Ecklonia radiata,Dead,3,03.02.25,11.77,17.02.25,3.45,0.6267,PA,
38,Ecklonia radiata,Live,1,03.02.25,11.89,24.03.25,6.59,1.37279,PA,
39,Ecklonia radiata,Dead,1,03.02.25,18.21,17.02.25,2.41,0.31932,PA,
40,Ecklonia radiata,Dead,3,03.02.25,41.12,10.04.25,0,0,PA,
41,Ecklonia radiata,Dead,1,03.02.25,13.36,03.03.25,0,0,PA,
42,Ecklonia radiata,Live,1,03.02.25,27.37,27.03.25,16.67,4.0602,PA,
43,Ecklonia radiata,Dead,1,03.02.25,28.04,05.02.25,25.61,4.59609,LSW,
44,Ecklonia radiata,Dead,1,03.02.25,38.41,27.03.25,0,0,PA,
45,Ecklonia radiata,Dead,3,03.02.25,29.68,31.03.25,0,0,PA,
46,Ecklonia radiata,Dead,1,03.02.25,19.06,10.02.25,26.92,3.6159,"TR, PA",dry mass was 8.4821 g without sand removed
47,Ecklonia radiata,Dead,1,03.02.25,13.11,10.03.25,0,0,PA,
48,Ecklonia radiata,Dead,1,03.02.25,39.33,24.03.25,0,0,PA,
49,Ecklonia radiata,Live,1,03.02.25,10.37,24.02.25,16.7,3.11158,PA,
50,Ecklonia radiata,Dead,1,03.02.25,11.11,07.04.25,0,0,PA,
51,Ecklonia radiata,Dead,3,03.02.25,42.66,17.04.25,0,0,PA,
52,Ecklonia radiata,Dead,3,03.02.25,38.68,13.02.25,27.58,6.6174,"TR, PA",dry mass was 10.53261 g without sand removed
53,Ecklonia radiata,Dead,1,03.02.25,22.31,24.02.25,11.22,0.33815,PA,
54,Ecklonia radiata,Live,3,03.02.25,13.57,13.03.25,0,0,LSW,
55,Amphibolis griffithii,Dead,2,03.02.25,7.33,20.03.25,8.31,0.98941,PA,
56,Amphibolis griffithii,Dead,2,03.02.25,7.53,07.04.25,6.33,0.76104,PA,
57,Amphibolis griffithii,Dead,2,03.02.25,6.91,13.02.25,6.73,1.19519,"TR, PA",
58,Amphibolis griffithii,Live,2,03.02.25,8.67,20.03.25,10.89,1.73677,PA,
59,Amphibolis griffithii,Live,2,03.02.25,8.01,06.03.25,7.31,1.42468,LSW,
60,Amphibolis griffithii,Live,2,03.02.25,7.05,13.02.25,7.04,1.40632,"TR, PA",
61,Amphibolis griffithii,Live,2,03.02.25,7.05,13.03.25,6.75,1.18116,LSW,
62,Amphibolis griffithii,Dead,2,03.02.25,9.33,10.04.25,8.23,1.04569,PA,
63,Amphibolis griffithii,Live,2,03.02.25,6.36,10.04.25,6.5,0.8561,PA,
64,Amphibolis griffithii,Dead,2,03.02.25,9.08,07.02.25,7.68,1.81453,LSW,
65,Amphibolis griffithii,Live,2,03.02.25,6.89,07.04.25,7.59,0.94228,PA,
66,Amphibolis griffithii,Dead,2,03.02.25,7.33,06.03.25,6.04,0.91353,LSW,
67,Amphibolis griffithii,Live,2,03.02.25,8.19,07.02.25,7.84,2.10955,LSW,
68,Amphibolis griffithii,Dead,2,03.02.25,7.7,13.03.25,7.68,0.94451,LSW,
69,Amphibolis griffithii,Dead,2,03.02.25,8.39,17.04.25,6.79,0.77215,PA,
70,Amphibolis griffithii,Live,2,03.02.25,7.63,17.04.25,7.31,0.95706,PA,
71,Amphibolis griffithii,Dead,2,03.02.25,8.05,27.03.25,8.69,1.07558,PA,
72,Amphibolis griffithii,Live,2,03.02.25,7.97,03.04.25,8.41,1.03498,PA,
73,Amphibolis griffithii,Live,2,03.02.25,8.83,27.03.25,8.88,1.23268,PA,
74,Amphibolis griffithii,Dead,2,03.02.25,7.45,27.02.25,6.84,1.16943,TR,
75,Amphibolis griffithii,Live,2,03.02.25,7.59,27.02.25,7.37,1.48067,TR ,
76,Amphibolis griffithii,Live,2,03.02.25,7.78,14.04.25,7.3,0.99492,PA,
77,Amphibolis griffithii,Dead,2,03.02.25,7.65,20.02.25,7.83,1.37382,TR ,
78,Amphibolis griffithii,Dead,2,03.02.25,7.12,03.04.25,7.25,0.82858,PA,
79,Amphibolis griffithii,Dead,2,03.02.25,7.51,14.04.25,7.25,0.76963,PA,
80,Amphibolis griffithii,Live,2,03.02.25,7.59,20.02.25,7.73,1.47461,TR,
81,Amphibolis griffithii,Dead,2,03.02.25,7.11,04.02.25,6.93,1.6963,LSW,