ID,Species,Treatment,Initial,Final,Hours,Initials
1,Laminaria digitata,Live,2.668,2.335,240,AF
3,Laminaria digitata,Live,2.503,2.143,117,AF
4,Laminaria digitata,Live,2.951,1.295,283,AF
5,Laminaria digitata,Live,2.7,3.327,1128,AF
6,Laminaria digitata,Live,2.385,2.249,768,AF
7,Laminaria digitata,Live,2.221,1.928,408,AF
8,Laminaria digitata,Live,2.668,2.285,456,AF
9,Laminaria digitata,Live,2.082,2.479,240,AF
10,Laminaria digitata,Live,2.352,2.245,1512,AF
11,Laminaria digitata,Live,2.222,2.252,768,AF
12,Laminaria digitata,Live,2.289,2.901,165,AF
13,Laminaria digitata,Live,2.276,2.431,165,AF
14,Laminaria digitata,Live,2.267,2.42,70,AF
16,Laminaria digitata,Live,2.392,0.658,768,AF
17,Laminaria digitata,Live,2.28,2.444,283,AF
18,Laminaria digitata,Live,2.66,2.263,456,AF
19,Laminaria digitata,Live,2.282,2.634,1512,AF
20,Laminaria digitata,Live,2.665,3.352,1272,AF
21,Laminaria digitata,Live,2.352,2.226,984,AF
22,Laminaria digitata,Live,2.285,2.499,571,AF
23,Laminaria digitata,Live,2.059,2.24,70,AF
24,Laminaria digitata,Live,2.235,2.499,838,AF
25,Laminaria digitata,Live,2.08,2.868,1272,AF
27,Laminaria digitata,Live,2.28,2.178,165,AF
28,Laminaria digitata,Live,2.293,2.316,240,AF
29,Laminaria digitata,Live,2.264,2.1,667,AF
30,Laminaria digitata,Live,2.168,2.841,984,AF
31,Laminaria digitata,Live,2.201,2.37,117,AF
32,Laminaria digitata,Live,2.2,2.46,283,AF
33,Laminaria digitata,Live,2.406,2.293,571,AF
34,Laminaria digitata,Live,2.412,2.506,667,AF
35,Laminaria digitata,Live,2.435,2.497,667,AF
36,Laminaria digitata,Live,2.437,3.402,1512,AF
37,Laminaria digitata,Live,2.09,3.286,984,AF
38,Laminaria digitata,Live,2.273,2.684,571,AF
39,Laminaria digitata,Live,2.279,2.349,408,AF
40,Laminaria digitata,Live,2.28,2.652,1128,AF
41,Laminaria digitata,Live,2.236,2.233,456,AF
42,Laminaria digitata,Live,2.277,1.983,408,AF
43,Laminaria digitata,Live,2.399,2.537,838,AF
44,Laminaria digitata,Live,2.398,2.429,283,AF
45,Laminaria digitata,Live,2.427,2.58,838,AF
46,Laminaria digitata,Dead,2.127,1.544,165,AF
47,Laminaria digitata,Dead,2.976,0,984,AF
48,Laminaria digitata,Dead,2.293,0,1272,AF
49,Laminaria digitata,Dead,2.797,1.23,240,AF
50,Laminaria digitata,Dead,2.758,0,984,AF
51,Laminaria digitata,Dead,1.77,1.036,240,AF
52,Laminaria digitata,Dead,2.375,0,768,AF
53,Laminaria digitata,Dead,2.158,1.692,117,AF
54,Laminaria digitata,Dead,2.051,0,1128,AF
55,Laminaria digitata,Dead,1.741,0.463,456,AF
56,Laminaria digitata,Dead,2.26,0,1512,AF
57,Laminaria digitata,Dead,1.889,1.88,165,AF
58,Laminaria digitata,Dead,2.758,0,1512,AF
59,Laminaria digitata,Dead,2.213,0.009,667,AF
60,Laminaria digitata,Dead,2.191,0,1128,AF
61,Laminaria digitata,Dead,2.082,0.153,571,AF
62,Laminaria digitata,Dead,2.867,0,1512,AF
63,Laminaria digitata,Dead,2.143,0.735,283,AF
64,Laminaria digitata,Dead,1.807,0.193,456,AF
65,Laminaria digitata,Dead,2.057,0,768,AF
66,Laminaria digitata,Dead,2.125,0.2,667,AF
67,Laminaria digitata,Dead,1.74,0.643,408,AF
68,Laminaria digitata,Dead,2.14,1.355,283,AF
69,Laminaria digitata,Dead,2.725,0.715,456,AF
71,Laminaria digitata,Dead,2.026,0,1272,AF
72,Laminaria digitata,Dead,2.796,1,70,AF
73,Laminaria digitata,Dead,2.309,0,838,AF
74,Laminaria digitata,Dead,2.747,0.1712,571,AF
75,Laminaria digitata,Dead,0.84,0,838,AF
76,Laminaria digitata,Dead,2.926,0,768,AF
77,Laminaria digitata,Dead,2.8,0.015,667,AF
78,Laminaria digitata,Dead,2.089,0,984,AF
79,Laminaria digitata,Dead,1.803,1.824,240,AF
80,Laminaria digitata,Dead,2.208,0,1512,AF
81,Laminaria digitata,Dead,2.795,1.54,408,AF
82,Laminaria digitata,Dead,2.7,0.293,165,AF
83,Laminaria digitata,Dead,2.486,0,1512,AF
84,Laminaria digitata,Dead,2.025,0,838,AF
85,Laminaria digitata,Dead,2.391,0.026,571,AF
86,Laminaria digitata,Dead,1.182,0,1272,AF
87,Laminaria digitata,Dead,2.493,1.69,117,AF
88,Laminaria digitata,Dead,2.707,0,1128,AF
89,Laminaria digitata,Dead,2.377,0.192,408,AF
90,Laminaria digitata,Dead,2.407,1.72,70,AF