ID,Species,Fresh,Dry,Initials
1,Ecklonia radiata,15.03,4.2517,TR
2,Ecklonia radiata,20.84,5.21828,TR
3,Ecklonia radiata,11.03,2.26076,TR
4,Ecklonia radiata,60.41,14.13737,TR
5,Ecklonia radiata,13.06,3.29625,TR
6,Ecklonia radiata,20.99,6.14736,TR
7,Ecklonia radiata,42.54,12.42924,TR
8,Ecklonia radiata,17.46,4.94294,TR
9,Ecklonia radiata,30.36,8.26514,TR
10,Ecklonia radiata,15.02,4.38769,TR
11,Ecklonia radiata,8.85,1.85997,TR
12,Ecklonia radiata,23.98,6.90843,TR
13,Ecklonia radiata,29.6,7.81599,TR
14,Ecklonia radiata,19.65,5.4106,TR
15,Ecklonia radiata,28.5,7.9367,TR
16,Ecklonia radiata,18.09,5.67398,TR
17,Ecklonia radiata,40.91,10.17536,TR
18,Ecklonia radiata,23.23,6.41565,TR
19,Ecklonia radiata,16.88,4.52366,TR
20,Ecklonia radiata,14.08,4.2502,TR
21,Ecklonia radiata,27.95,8.1643,TR
22,Ecklonia radiata,10.79,2.42466,TR
23,Ecklonia radiata,18.68,5.46261,TR
24,Ecklonia radiata,24.78,5.75606,TR
25,Ecklonia radiata,32.32,9.4765,TR
26,Ecklonia radiata,16.85,5.33431,TR
27,Ecklonia radiata,32.71,9.4519,TR
28,Ecklonia radiata,26.17,7.56948,TR
29,Ecklonia radiata,31.33,8.85989,TR
30,Ecklonia radiata,8.99,1.60131,TR
31,Amphibolis griffithii,7.9,1.91008,TR
32,Amphibolis griffithii,7.53,1.74852,TR
33,Amphibolis griffithii,6.96,1.67883,TR
34,Amphibolis griffithii,6.48,1.75986,TR
35,Amphibolis griffithii,7.65,1.74236,TR
36,Amphibolis griffithii,6.88,1.54649,TR
37,Amphibolis griffithii,5.36,1.40918,TR
38,Amphibolis griffithii,6.71,1.93284,PA
39,Amphibolis griffithii,6.76,1.79882,PA
40,Amphibolis griffithii,5.4,1.47548,PA
41,Amphibolis griffithii,5.4,1.4618,TR
42,Amphibolis griffithii,7.07,1.79641,TR
43,Amphibolis griffithii,7.74,2.08989,TR
44,Amphibolis griffithii,6.51,1.7329,PA
45,Amphibolis griffithii,7.86,1.75399,TR
46,Amphibolis griffithii,8.64,1.78608,TR
47,Amphibolis griffithii,6.59,1.69803,TR
48,Amphibolis griffithii,5.04,1.22097,TR
49,Amphibolis griffithii,5.19,1.36744,PA
50,Amphibolis griffithii,5.25,1.54245,PA
51,Amphibolis griffithii,7.28,1.76478,TR
52,Amphibolis griffithii,7.09,1.84222,TR
53,Amphibolis griffithii,4.8,1.25968,TR
54,Amphibolis griffithii,6.95,1.65659,PA
55,Amphibolis griffithii,5.88,1.53423,PA
56,Amphibolis griffithii,4.58,1.23631,PA
57,Amphibolis griffithii,5.92,1.47675,TR
58,Amphibolis griffithii,5.37,1.31404,TR
59,Amphibolis griffithii,5.21,1.15745,TR
60,Amphibolis griffithii,6.11,1.3564,PA